system_id,method,pes_calls,tot_time,success,termination_status,rmsd_init_saddle,barrier,mol_id,spin
44_doublets,cg_no,130,583.316,True,GOOD,0.1477223062836747,-0.731942221555073,44,doublets
44_singlets,cg_no,798,3226.906,True,GOOD,0.7236889770828856,-4.043048415720477,44,singlets
45_doublets,cg_no,820,4770.168,True,GOOD,3.6870324496300713,-1.724639395082704,45,doublets
45_singlets,cg_no,341,1244.027,True,GOOD,0.6541833503580532,-2.301366075853366,45,singlets
46_doublets,cg_no,303,1410.773,True,GOOD,0.3759932315874094,-1.1174157343875777,46,doublets
46_singlets,cg_no,164,633.315,True,GOOD,0.3203068705872902,-1.6636531748290508,46,singlets
47_doublets,cg_no,299,1510.346,True,GOOD,0.3295576592351255,-1.5784493834125897,47,doublets
47_singlets,cg_no,330,1316.932,True,GOOD,0.3802532686315871,-1.8377860426717236,47,singlets
48_doublets,cg_no,113,555.278,True,GOOD,0.1776715938642329,-0.6448056266863205,48,doublets
48_singlets,cg_no,396,1629.647,True,GOOD,1.3708094691027028,0.4235945210130012,48,singlets
49_doublets,cg_no,214,948.476,True,GOOD,0.3114887095075733,-0.7851443926829234,49,doublets
49_singlets,cg_no,278,1163.072,True,GOOD,0.5568390999848268,-2.5649428956148768,49,singlets
50_doublets,cg_no,834,4670.117,True,GOOD,36.57701678526383,-5.833480162271371,50,doublets
50_singlets,cg_no,331,1211.29,True,GOOD,0.8982732676891465,-3.1558550510198984,50,singlets
51_doublets,cg_no,228,1029.164,True,GOOD,0.4015605381004823,-4.791704188276526,51,doublets
51_singlets,cg_no,1090,4604.899,True,GOOD,37.97892610312657,-3.155881017290085,51,singlets
52_doublets,cg_no,336,1995.04,True,GOOD,0.3586774821571707,0.1020207381479849,52,doublets
52_singlets,cg_no,564,2226.281,True,GOOD,0.9334067297097086,-1.2602370487402368,52,singlets
53_doublets,cg_no,315,1591.179,True,GOOD,0.3767483367304754,-1.1170977120573298,53,doublets
53_singlets,cg_no,254,910.208,True,GOOD,0.5223127109541887,-1.0450284325925168,53,singlets
54_doublets,cg_no,138,776.576,True,GOOD,0.1181528310525835,-0.3638942225479695,54,doublets
54_singlets,cg_no,661,2797.221,True,GOOD,1.4926384207012044,0.1108516420536034,54,singlets
55_doublets,cg_no,626,3654.705,True,GOOD,1.171731637700544,-0.5579272164859503,55,doublets
55_singlets,cg_no,417,1764.423,True,GOOD,1.975022229631592,-2.5891345900563465,55,singlets
